Time [s], Analyzer Name, Decoded Protocol Result
5.210597250000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.210677083333334,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.210764833333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.210852666666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.210940500000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.211028250000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.211116083333334,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.225549666666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.225972750000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.226060583333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.226140416666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.226228166666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.226316000000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.226403833333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.226491583333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.226579416666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.226667250000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.226747083333334,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.226834833333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.226922666666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.227010500000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.227098250000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.227186083333334,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.241292666666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.241667833333334,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.241755666666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.241843416666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.241931250000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.242019083333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.242098916666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.242186666666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.242274500000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.242362333333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.242450083333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.242537916666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.242617750000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.242705583333334,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.242793333333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.242881166666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.257537916666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.257968916666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.258048750000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.258136500000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.258224333333334,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.258312166666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.258400000000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.258487750000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
